shipment_id,transport_mode,recorded_date,recorded_time,temperature_celsius,humidity_percentage,vibration_level,spoilage_status,cargo_type,origin_location,destination_location,exposure_duration_hours,spoilage_risk_percent,remaining_shelf_life_days,pressure_kpa,door_open_count,salinity_ppt,thermal_leakage_score
RAIL1001,Intermodal Rail,2025-07-18,10:00,,62.4,1.8,Fresh,Flowers,Mumbai,Kochi,159.2,20.3,4.0,0.0,0,0.0,4.5
RAIL0681,Intermodal Rail,2025-03-01,10:45,4.5,47.4,4.3,Fresh,Flowers,Kolkata,Kochi,143.1,13.5,4.7,0.0,0,0.0,4.3
RAIL0086,Intermodal Rail,2024-11-09,01:05,3.1,35.8,0.4,Fresh,Meat,Kolkata,Bengaluru,141.9,18.7,5.2,0.0,0,0.0,3.2
RAIL0432,Intermodal Rail,2024-11-30,04:35,7.2,50.7,2.6,Fresh,Pharmaceuticals,Kolkata,Jammu,153.1,8.3,28.2,0.0,0,0.0,1.4
RAIL0624,Intermodal Rail,2025-06-25,08:15,11.5,34.1,3.0,Fresh,Fruits,Mumbai,Nagpur,140.2,8.8,11.0,0.0,0,0.0,3.4
RAIL0345,Intermodal Rail,2026-08-02,09:00,3.0,51.1,2.2,Fresh,Dairy,Guwahati,Jammu,141.1,15.8,6.5,0.0,0,0.0,5.0
RAIL0524,Intermodal Rail,2025-01-11,15:55,1.9,42.0,1.9,Fresh,Dairy,Ahmedabad,Nagpur,159.0,9.0,6.9,0.0,0,0.0,2.3
RAIL0133,Intermodal Rail,2026-08-12,20:35,-3.5,76.1,3.0,Fresh,Meat,Mumbai,Guwahati,143.2,22.6,5.4,0.0,0,0.0,8.5
RAIL0989,Intermodal Rail,2025-12-24,10:10,4.2,67.3,3.5,Fresh,Seafood,Kolkata,Jammu,150.0,15.8,3.9,0.0,0,0.0,2.6
RAIL0307,Intermodal Rail,2025-08-16,03:30,1.8,80.7,2.8,Fresh,Seafood,Delhi,Jaipur,134.1,21.9,3.5,0.0,0,0.0,4.2
RAIL1000,Intermodal Rail,2024-08-19,21:15,999.0,52.4,2.9,Fresh,Pharmaceuticals,Kolkata,Kochi,120.2,9.0,28.3,0.0,0,0.0,2.8
RAIL0150,Intermodal Rail,2026-07-03,11:35,5.2,73.9,2.7,Fresh,Meat,Delhi,Kochi,162.1,12.3,5.7,0.0,0,0.0,0.6
RAIL0044,Intermodal Rail,2024-05-26,02:55,11.5,70.2,4.0,Fresh,Fruits,Ahmedabad,Chennai,120.1,18.0,9.9,0.0,0,0.0,4.4
RAIL0710,Intermodal Rail,2025-04-28,02:20,0.5,54.5,0.7,Fresh,Seafood,Chennai,Guwahati,128.6,12.2,4.0,0.0,0,0.0,5.7
RAIL0410,Intermodal Rail,2024-08-19,21:15,6.2,52.4,2.9,Fresh,Pharmaceuticals,Kolkata,Kochi,120.2,9.0,28.3,0.0,0,0.0,2.8
RAIL0883,Intermodal Rail,2024-08-25,07:10,-0.9,47.4,3.0,Fresh,Seafood,Kolkata,Chennai,142.3,18.5,3.4,0.0,0,0.0,6.5
