shipment_id,transport_mode,recorded_date,recorded_time,recorded_datetime,origin_location,destination_location,cargo_type,temperature_celsius,humidity_percentage,vibration_level,pressure_kpa,exposure_duration_hours,door_open_count,salinity_ppt,thermal_leakage_score,spoilage_risk_percent,remaining_shelf_life_days,spoilage_status
RAIL1001,Intermodal Rail,2025-07-18,10:00,2025-07-18 10:00:00,Mumbai,Kochi,Flowers,3.8,62.4,1.8,0.0,159.2,0,0.0,4.5,20.3,4.0,Fresh
RAIL0681,Intermodal Rail,2025-03-01,10:45,2025-03-01 10:45:00,Kolkata,Kochi,Flowers,4.5,47.4,4.3,0.0,143.1,0,0.0,4.3,13.5,4.7,Fresh
RAIL0086,Intermodal Rail,2024-11-09,01:05,2024-11-09 01:05:00,Kolkata,Bengaluru,Meat,3.1,35.8,0.4,0.0,141.9,0,0.0,3.2,18.7,5.2,Fresh
RAIL0432,Intermodal Rail,2024-11-30,04:35,2024-11-30 04:35:00,Kolkata,Jammu,Pharmaceuticals,7.2,50.7,2.6,0.0,153.1,0,0.0,1.4,8.3,28.2,Fresh
RAIL0624,Intermodal Rail,2025-06-25,08:15,2025-06-25 08:15:00,Mumbai,Nagpur,Fruits,11.5,34.1,3.0,0.0,140.2,0,0.0,3.4,8.8,11.0,Fresh
RAIL0345,Intermodal Rail,2026-08-02,09:00,2026-08-02 09:00:00,Guwahati,Jammu,Dairy,3.0,51.1,2.2,0.0,141.1,0,0.0,5.0,15.8,6.5,Fresh
RAIL0524,Intermodal Rail,2025-01-11,15:55,2025-01-11 15:55:00,Ahmedabad,Nagpur,Dairy,1.9,42.0,1.9,0.0,159.0,0,0.0,2.3,9.0,6.9,Fresh
RAIL0133,Intermodal Rail,2026-08-12,20:35,2026-08-12 20:35:00,Mumbai,Guwahati,Meat,-3.5,76.1,3.0,0.0,143.2,0,0.0,8.5,22.6,5.4,Fresh
RAIL0989,Intermodal Rail,2025-12-24,10:10,2025-12-24 10:10:00,Kolkata,Jammu,Seafood,4.2,67.3,3.5,0.0,150.0,0,0.0,2.6,15.8,3.9,Fresh
RAIL0307,Intermodal Rail,2025-08-16,03:30,2025-08-16 03:30:00,Delhi,Jaipur,Seafood,1.8,80.7,2.8,0.0,134.1,0,0.0,4.2,21.9,3.5,Fresh
RAIL1000,Intermodal Rail,2024-08-19,21:15,2024-08-19 21:15:00,Kolkata,Kochi,Pharmaceuticals,4.5,52.4,2.9,0.0,120.2,0,0.0,2.8,9.0,28.3,Fresh
RAIL0150,Intermodal Rail,2026-07-03,11:35,2026-07-03 11:35:00,Delhi,Kochi,Meat,5.2,73.9,2.7,0.0,162.1,0,0.0,0.6,12.3,5.7,Fresh
RAIL0044,Intermodal Rail,2024-05-26,02:55,2024-05-26 02:55:00,Ahmedabad,Chennai,Fruits,11.5,70.2,4.0,0.0,120.1,0,0.0,4.4,18.0,9.9,Fresh
RAIL0710,Intermodal Rail,2025-04-28,02:20,2025-04-28 02:20:00,Chennai,Guwahati,Seafood,0.5,54.5,0.7,0.0,128.6,0,0.0,5.7,12.2,4.0,Fresh
RAIL0410,Intermodal Rail,2024-08-19,21:15,2024-08-19 21:15:00,Kolkata,Kochi,Pharmaceuticals,6.2,52.4,2.9,0.0,120.2,0,0.0,2.8,9.0,28.3,Fresh
RAIL0883,Intermodal Rail,2024-08-25,07:10,2024-08-25 07:10:00,Kolkata,Chennai,Seafood,-0.9,47.4,3.0,0.0,142.3,0,0.0,6.5,18.5,3.4,Fresh
RAIL0318,Intermodal Rail,2025-05-01,17:00,2025-05-01 17:00:00,Ahmedabad,Jammu,Vegetables,6.9,60.4,2.4,0.0,150.1,0,0.0,3.9,19.9,9.5,Fresh
RAIL0311,Intermodal Rail,2026-06-11,10:10,2026-06-11 10:10:00,Mumbai,Jammu,Meat,1.3,31.8,3.3,0.0,128.4,0,0.0,3.5,6.7,6.0,Fresh
RAIL0968,Intermodal Rail,2025-07-03,00:10,2025-07-03 00:10:00,Delhi,Nagpur,Meat,3.9,31.6,3.4,0.0,152.5,0,0.0,5.2,16.6,6.0,Fresh
RAIL0683,Intermodal Rail,2024-12-08,08:45,2024-12-08 08:45:00,Delhi,Bengaluru,Vegetables,10.9,73.1,3.2,0.0,157.3,0,0.0,1.1,20.1,9.2,Fresh
RAIL0967,Intermodal Rail,2024-04-07,16:25,2024-04-07 16:25:00,Delhi,Bengaluru,Vegetables,11.5,80.5,3.7,0.0,155.4,0,0.0,7.7,94.2,4.5,Spoiled
RAIL0193,Intermodal Rail,2026-06-09,05:55,2026-06-09 05:55:00,Kolkata,Kochi,Flowers,8.1,52.4,3.1,0.0,131.3,0,0.0,0.2,7.1,4.6,Fresh
RAIL0510,Intermodal Rail,2024-10-12,22:45,2024-10-12 22:45:00,Ahmedabad,Chennai,Vegetables,4.6,58.2,2.0,0.0,141.2,0,0.0,5.6,13.2,9.3,Fresh
RAIL0542,Intermodal Rail,2025-05-14,07:55,2025-05-14 07:55:00,Chennai,Jammu,Pharmaceuticals,3.9,53.5,2.4,0.0,149.9,0,0.0,4.7,12.8,27.9,Fresh
RAIL0067,Intermodal Rail,2025-08-07,03:55,2025-08-07 03:55:00,Delhi,Jammu,Fruits,10.5,62.6,4.3,0.0,123.3,0,0.0,3.5,9.1,10.9,Fresh
RAIL0759,Intermodal Rail,2024-12-17,21:00,2024-12-17 21:00:00,Ahmedabad,Jaipur,Seafood,-0.0,63.3,3.3,0.0,147.1,0,0.0,6.3,19.4,3.6,Fresh
RAIL0423,Intermodal Rail,2024-03-02,06:50,2024-03-02 06:50:00,Mumbai,Jaipur,Fruits,9.7,66.0,1.9,0.0,138.2,0,0.0,4.9,15.0,10.9,Fresh
RAIL0802,Intermodal Rail,2024-09-22,03:20,2024-09-22 03:20:00,Ahmedabad,Kochi,Flowers,1.7,58.0,0.7,0.0,135.0,0,0.0,7.6,18.6,4.9,Fresh
RAIL0004,Intermodal Rail,2025-07-08,02:20,2025-07-08 02:20:00,Mumbai,Kochi,Dairy,3.4,85.1,0.9,0.0,155.8,0,0.0,3.5,24.6,6.2,Fresh
RAIL0627,Intermodal Rail,2025-06-07,11:55,2025-06-07 11:55:00,Kolkata,Bengaluru,Vegetables,7.7,40.9,2.8,0.0,122.5,0,0.0,3.5,12.3,9.2,Fresh
RAIL1004,Intermodal Rail,2024-07-17,18:40,2024-07-17 18:40:00,Mumbai,Jammu,Unknown,3.3,54.7,2.1,0.0,129.5,0,0.0,4.9,11.8,3.5,Fresh
RAIL0630,Intermodal Rail,2024-01-25,09:50,2024-01-25 09:50:00,Ahmedabad,Guwahati,Flowers,2.7,58.4,1.6,0.0,146.7,0,0.0,5.7,18.9,4.0,Fresh
RAIL0346,Intermodal Rail,2025-06-16,09:20,2025-06-16 09:20:00,Mumbai,Guwahati,Flowers,0.1,68.3,3.4,0.0,148.7,0,0.0,0.7,5.3,5.0,Fresh
RAIL0743,Intermodal Rail,2024-03-10,03:00,2024-03-10 03:00:00,Delhi,Chennai,Vegetables,10.1,81.1,4.3,0.0,127.3,0,0.0,1.9,16.0,9.6,Fresh
RAIL0970,Intermodal Rail,2025-08-08,02:10,2025-08-08 02:10:00,Ahmedabad,Guwahati,Flowers,3.8,75.4,2.8,0.0,141.2,0,0.0,5.4,24.1,4.0,Fresh
RAIL0201,Intermodal Rail,2026-04-02,09:15,2026-04-02 09:15:00,Guwahati,Jammu,Dairy,5.9,48.0,0.6,0.0,132.1,0,0.0,2.1,10.8,6.7,Fresh
RAIL0891,Intermodal Rail,2026-02-06,07:25,2026-02-06 07:25:00,Ahmedabad,Guwahati,Meat,1.6,44.9,4.4,0.0,136.6,0,0.0,3.6,10.2,5.9,Fresh
RAIL0114,Intermodal Rail,2024-03-19,14:30,2024-03-19 14:30:00,Chennai,Bengaluru,Flowers,9.5,55.4,3.7,0.0,132.0,0,0.0,7.9,28.0,3.7,At Risk
RAIL0163,Intermodal Rail,2026-08-25,15:00,2026-08-25 15:00:00,Guwahati,Jammu,Dairy,0.7,59.95,0.6,0.0,157.5,0,0.0,7.4,26.2,6.0,At Risk
