shipment_id	transport_mode	recorded_date	recorded_time	temperature_celsius	humidity_percentage	vibration_level	spoilage_status	cargo_type	origin_location	destination_location	exposure_duration_hours	spoilage_risk_percent	remaining_shelf_life_days	pressure_kpa	door_open_count	salinity_ppt	thermal_leakage_score
TRK1001	Cold-Chain Road Truck	11/12/2024	22:25	6.9	89.3	3.3	At Risk	Vegetables	Bengaluru	Chennai	28.5	26	8.4	0	4	0	0
TRK0951	Cold-Chain Road Truck	23/09/2025	7:20	11.8	74.5	5.9	At Risk	Dairy	Ahmedabad	Lucknow	67.2	53.8	4.8	0	9	0	0
TRK0666	Cold-Chain Road Truck	28/01/2025	2:50	3.3	54.4	4.9	Fresh	Pharmaceuticals	Bhopal	Mumbai	26.7	8.6	28.4	0	3	0	0
TRK0718	Cold-Chain Road Truck	11/02/2025	19:55	4.5	63.5	3.8	At Risk	Dairy	Kolkata	Nashik	32.4	25.9	5.8	0	4	0	0
TRK0090	Cold-Chain Road Truck	09/06/2024	18:45	7.7	72.1	1	Fresh	Flowers	Jaipur	Mumbai	4.7	20.7	4.3	0	1	0	0
TRK0906	Cold-Chain Road Truck	12/04/2024	8:05	6.8	45.7	4.2	Fresh	Pharmaceuticals	Indore	Surat	27.9	12.6	27.7	0	4	0	0
TRK0817	Cold-Chain Road Truck	10/12/2025	18:00	3.2	84.2	3.3	Fresh	Vegetables	Surat	Nashik	28.1	21.1	8.7	0	4	0	0
TRK0004	Cold-Chain Road Truck	03/05/2024	22:50	6.2	66.3	3.2	Fresh	Dairy	Ahmedabad	Nashik	13.4	17.9	6.2	0	1	0	0
TRK0822	Cold-Chain Road Truck	26/07/2026	16:25	1.1	52	4.3	Fresh	Dairy	Indore	Udaipur	36	18.1	6.2	0	6	0	0
TRK0636	Cold-Chain Road Truck	25/04/2025	4:45	7.2	67.2	3.2	Fresh	Meat	Kolkata	Mumbai	5.1	22.8	4.9	0	1	0	0
TRK1000	Cold-Chain Road Truck	26/01/2025	7:45	6.9	40.2	5.9	At Risk	Vegetables	Delhi	Mumbai	46.1	25.3	8.4	0	8	0	0
TRK0827	Cold-Chain Road Truck	02/03/2024	6:50	2.2	69.8	3.5	Fresh	Meat	Chennai	Kolkata	18.1	16.6	5.4	0	2	0	0
TRK0140	Cold-Chain Road Truck	11/12/2024	22:25	9	89.3	3.3	At Risk	Vegetables	Bengaluru	Chennai	28.5	26	8.4	0	4	0	0
TRK0846	Cold-Chain Road Truck	10/07/2024	19:20	5.7	75.1	5.2	At Risk	Flowers	Udaipur	Jaipur	24.9	29.9	4.1	0	5	0	0
TRK0515	Cold-Chain Road Truck	29/12/2024	21:45	10.7	58.4	2.7	At Risk	Vegetables	Nashik	Indore	44.4	26.1	8.3	0	8	0	0
TRK0321	Cold-Chain Road Truck	20/07/2024	14:20	5.3	34.9	3.5	Fresh	Meat	Delhi	Mumbai	29.2	21.4	5.1	0	3	0	0
TRK0146	Cold-Chain Road Truck	01/07/2026	18:40	2.4	86.1	3.1	At Risk	Meat	Delhi	Ahmedabad	3.1	25.5	5.1	0	1	0	0
TRK0519	Cold-Chain Road Truck	20/10/2025	9:05	10.3	45.7	2.3	Fresh	Vegetables	Mumbai	Indore	4	11.6	9.2	0	1	0	0
TRK0542	Cold-Chain Road Truck	05/11/2024	3:10	0.7	42.7	3.4	Fresh	Vegetables	Hyderabad	Mumbai	33.8	20.4	7.9	0	4	0	0
TRK0695	Cold-Chain Road Truck	23/01/2026	8:25	0.2	31.9	3.7	Fresh	Meat	Bhopal	Mumbai	38.4	17.2	5.4	0	5	0	0
TRK0795	Cold-Chain Road Truck	04/12/2024	6:20	4.6	64.1	6.7	At Risk	Dairy	Chennai	Bengaluru	69.2	49.4	4.9	0	8	0	0
TRK0958	Cold-Chain Road Truck	21/04/2024	22:10	18.6	64.5	6.9	At Risk	Pharmaceuticals	Jaipur	Udaipur	67.4	42.4	21.5	0	9	0	0
TRK0801	Cold-Chain Road Truck	06/07/2024	22:30	5.9	56.4	6.1	Fresh	Pharmaceuticals	Bhopal	Indore	59.9	21.8	26	0	7	0	0
