shipment_id	transport_mode	recorded_date	recorded_time	temperature_celsius	humidity_percentage	vibration_level	spoilage_status	cargo_type	origin_location	destination_location	exposure_duration_hours	spoilage_risk_percent	remaining_shelf_life_days	pressure_kpa	door_open_count	salinity_ppt	thermal_leakage_score
RAIL1001	Intermodal Rail	18-07-2025	10:00		62.4	1.8	Fresh	Flowers	Mumbai	Kochi	159.2	20.3	4	0	0	0	4.5
RAIL0681	Intermodal Rail	01-03-2025	10:45	4.5	47.4	4.3	Fresh	Flowers	Kolkata	Kochi	143.1	13.5	4.7	0	0	0	4.3
RAIL0086	Intermodal Rail	09-11-2024	01:05	3.1	35.8	0.4	Fresh	Meat	Kolkata	Bengaluru	141.9	18.7	5.2	0	0	0	3.2
RAIL0432	Intermodal Rail	30-11-2024	04:35	7.2	50.7	2.6	Fresh	Pharmaceuticals	Kolkata	Jammu	153.1	8.3	28.2	0	0	0	1.4
RAIL0624	Intermodal Rail	25-06-2025	08:15	11.5	34.1	3	Fresh	Fruits	Mumbai	Nagpur	140.2	8.8	11	0	0	0	3.4
RAIL0345	Intermodal Rail	02-08-2026	09:00	3	51.1	2.2	Fresh	Dairy	Guwahati	Jammu	141.1	15.8	6.5	0	0	0	5
RAIL0524	Intermodal Rail	11-01-2025	15:55	1.9	42	1.9	Fresh	Dairy	Ahmedabad	Nagpur	159	9	6.9	0	0	0	2.3
RAIL0133	Intermodal Rail	12-08-2026	20:35	-3.5	76.1	3	Fresh	Meat	Mumbai	Guwahati	143.2	22.6	5.4	0	0	0	8.5
RAIL0989	Intermodal Rail	24-12-2025	10:10	4.2	67.3	3.5	Fresh	Seafood	Kolkata	Jammu	150	15.8	3.9	0	0	0	2.6
RAIL0307	Intermodal Rail	16-08-2025	03:30	1.8	80.7	2.8	Fresh	Seafood	Delhi	Jaipur	134.1	21.9	3.5	0	0	0	4.2
RAIL1000	Intermodal Rail	19-08-2024	21:15	999	52.4	2.9	Fresh	Pharmaceuticals	Kolkata	Kochi	120.2	9	28.3	0	0	0	2.8
RAIL0150	Intermodal Rail	03-07-2026	11:35	5.2	73.9	2.7	Fresh	Meat	Delhi	Kochi	162.1	12.3	5.7	0	0	0	0.6
RAIL0044	Intermodal Rail	26-05-2024	02:55	11.5	70.2	4	Fresh	Fruits	Ahmedabad	Chennai	120.1	18	9.9	0	0	0	4.4
RAIL0710	Intermodal Rail	28-04-2025	02:20	0.5	54.5	0.7	Fresh	Seafood	Chennai	Guwahati	128.6	12.2	4	0	0	0	5.7
RAIL0410	Intermodal Rail	19-08-2024	21:15	6.2	52.4	2.9	Fresh	Pharmaceuticals	Kolkata	Kochi	120.2	9	28.3	0	0	0	2.8
RAIL0883	Intermodal Rail	25-08-2024	07:10	-0.9	47.4	3	Fresh	Seafood	Kolkata	Chennai	142.3	18.5	3.4	0	0	0	6.5
RAIL0318	Intermodal Rail	01-05-2025	17:00	6.9	60.4	2.4	Fresh	Vegetables	Ahmedabad	Jammu	150.1	19.9	9.5	0	0	0	3.9
RAIL0311	Intermodal Rail	11-06-2026	10:10	1.3	31.8	3.3	Fresh	Meat	Mumbai	Jammu	128.4	6.7	6	0	0	0	3.5
RAIL0968	Intermodal Rail	03-07-2025	00:10	3.9	31.6	3.4	Fresh	Meat	Delhi	Nagpur	152.5	16.6	6	0	0	0	5.2
RAIL0683	Intermodal Rail	08-12-2024	08:45	10.9	73.1	3.2	Fresh	Vegetables	Delhi	Bengaluru	157.3	20.1	9.2	0	0	0	1.1
RAIL0967	Intermodal Rail	07-04-2024	16:25	11.5	80.5	3.7	Spoiled	Vegetables	Delhi	Bengaluru	155.4	94.2	4.5	0	0	0	7.7
RAIL0193	Intermodal Rail	09-06-2026	05:55	8.1	52.4	3.1	Fresh	Flowers	Kolkata	Kochi	131.3	7.1	4.6	0	0	0	0.2
RAIL0510	Intermodal Rail	12-10-2024	22:45	4.6	58.2	2	Fresh	Vegetables	Ahmedabad	Chennai	141.2	13.2	9.3	0	0	0	5.6
RAIL0542	Intermodal Rail	14-05-2025	07:55	3.9	53.5	2.4	Fresh	Pharmaceuticals	Chennai	Jammu	149.9	12.8	27.9	0	0	0	4.7
RAIL0067	Intermodal Rail	07-08-2025	03:55	10.5	62.6	4.3	Fresh	Fruits	Delhi	Jammu	123.3	9.1	10.9	0	0	0	3.5
RAIL0759	Intermodal Rail	17-12-2024	21:00	0	63.3	3.3	Fresh	Seafood	Ahmedabad	Jaipur	147.1	19.4	3.6	0	0	0	6.3
RAIL0423	Intermodal Rail	02-03-2024	06:50	9.7	66	1.9	Fresh	Fruits	Mumbai	Jaipur	138.2	15	10.9	0	0	0	4.9
RAIL0802	Intermodal Rail	22-09-2024	03:20	1.7	58	0.7	Fresh	Flowers	Ahmedabad	Kochi	135	18.6	4.9	0	0	0	7.6
RAIL0004	Intermodal Rail	08-07-2025	02:20	3.4	85.1	0.9	Fresh	Dairy	Mumbai	Kochi	155.8	24.6	6.2	0	0	0	3.5
RAIL0627	Intermodal Rail	07-06-2025	11:55	7.7	40.9	2.8	Fresh	Vegetables	Kolkata	Bengaluru	122.5	12.3	9.2	0	0	0	3.5
RAIL1004	Intermodal Rail	17-07-2024	18:40	3.3	54.7	2.1	Fresh	N/A	Mumbai	Jammu	129.5	11.8	3.5	0	0	0	4.9
RAIL0630	Intermodal Rail	25-01-2024	09:50	2.7	58.4	1.6	Fresh	Flowers	Ahmedabad	Guwahati	146.7	18.9	4	0	0	0	5.7
RAIL0346	Intermodal Rail	16-06-2025	09:20	0.1	68.3	3.4	Fresh	Flowers	Mumbai	Guwahati	148.7	5.3	5	0	0	0	0.7
RAIL0743	Intermodal Rail	10-03-2024	03:00	10.1	81.1	4.3	Fresh	Vegetables	Delhi	Chennai	127.3	16	9.6	0	0	0	1.9
RAIL0970	Intermodal Rail	08-08-2025	02:10	3.8	75.4	2.8	Fresh	Flowers	Ahmedabad	Guwahati	141.2	24.1	4	0	0	0	5.4
RAIL0201	Intermodal Rail	02-04-2026	09:15	5.9	48	0.6	Fresh	Dairy	Guwahati	Jammu	132.1	10.8	6.7	0	0	0	2.1
RAIL0891	Intermodal Rail	06-02-2026	07:25	1.6	44.9	4.4	Fresh	Meat	Ahmedabad	Guwahati	136.6	10.2	5.9	0	0	0	3.6
RAIL0114	Intermodal Rail	19-03-2024	14:30	9.5	55.4	3.7	At Risk	Flowers	Chennai	Bengaluru	132	28	3.7	0	0	0	7.9
RAIL0163	Intermodal Rail	25-08-2026	15:00	0.7	-80	0.6	At Risk	Dairy	Guwahati	Jammu	157.5	26.2	6	0	0	0	7.4
RAIL0290	Intermodal Rail	27-05-2025	00:00	1.6	89.2	2.3	At Risk	Seafood	Mumbai	Bengaluru	146.8	25.8	3.5	0	0	0	3.6
RAIL0951	Intermodal Rail	03-01-2025	11:15	3.8	81.3	2.2	Fresh	Flowers	Delhi	Chennai	132	20.9	4.3	0	0	0	5
RAIL0325	Intermodal Rail	21-12-2024	02:00	0	78.9	3.6	Fresh	Seafood	Kolkata	Guwahati	129	16.2	3.7	0	0	0	6.3
RAIL0887	Intermodal Rail	28-09-2024	02:15	6.4	93.5	2.2	Fresh	Pharmaceuticals	Delhi	Nagpur	126.3	9.8	28.3	0	0	0	2.2
RAIL0795	Intermodal Rail	13-12-2024	19:00	-5	79.7	2.5	Fresh	Meat	Chennai	Kochi	125.4	21.4	5.4	0	0	0	8.7
RAIL0909	Intermodal Rail	19-04-2024	23:25	5	57.9	0.8	Fresh	Meat	Ahmedabad	Jaipur	165.6	23.5	5	0	0	0	7.1
RAIL0309	Intermodal Rail	15-04-2025	02:45	4.4	93.8	2	Fresh	Pharmaceuticals	Guwahati	Kochi	162.1	14.5	27	0	0	0	4.6
RAIL0515	Intermodal Rail	21-12-2025	22:20	1.2	35.3	2.3	Fresh	Pharmaceuticals	Chennai	Guwahati	144.9	5	29	0	0	0	6.7
RAIL0958	Intermodal Rail	02-04-2024	09:10	5.7	49.3	2.2	Fresh	Fruits	Guwahati	Chennai	141.3	7.1	11.5	0	0	0	0.5
RAIL0520	Intermodal Rail	29-05-2024	11:30	3.6	70.2	2.4	Fresh	Vegetables	Chennai	Kochi	147.5	22.9	8.7	0	0	0	7.8
RAIL0547	Intermodal Rail	11-04-2026	00:25	7.9	87.7	2.4	Fresh	Dairy	Ahmedabad	Guwahati	134.6	20.3	5.8	0	0	0	0.9
RAIL0818	Intermodal Rail	17-06-2025	16:40	4.9	57.9	2.4	Fresh	Dairy	Chennai	Kochi	134	12.3	6.4	0	0	0	4.7
RAIL0664	Intermodal Rail	18-06-2024	05:05	5.3	46.8	3.3	Fresh	Dairy	Chennai	Nagpur	151.9	16.9	6	0	0	0	5.3
RAIL0573	Intermodal Rail	30-12-2025	08:45	2.8	43.2	2.8	Fresh	Vegetables	Guwahati	Chennai	162.1	16.3	9	0	0	0	7.4
RAIL0569	Intermodal Rail	12-01-2024	22:30	-0.2	95	1.6	Fresh	Seafood	Mumbai	Kochi	134.2	24.1	2.6	0	0	0	6.2
RAIL0495	Intermodal Rail	24-03-2024	16:20	2.3	49.5	3	Fresh	Dairy	Kolkata	Chennai	127.7	5.6	6.6	0	0	0	2.6
RAIL0334	Intermodal Rail	03-05-2025	16:15	2.7	66.9	2.1	Fresh	Meat	Guwahati	Bengaluru	120.8	10.1	5	0	0	0	4.7
RAIL0981	Intermodal Rail	07-11-2024	11:45	3.4	32.3	3.7	Fresh	Seafood	Kolkata	Jammu	132.7	2.3	3.9	0	0	0	5.6
RAIL0480	Intermodal Rail	18-01-2026	04:25	0.6	62.3	2	Fresh	Seafood	Delhi	Jammu	133.1	13.5	4	0	0	0	4.9
RAIL0274	Intermodal Rail	31-08-2024	17:20	3.6	41.5	2.3	Fresh	Meat	Kolkata	Chennai	136.8	12.2	5.6	0	0	0	5.9
RAIL0836	Intermodal Rail	02-02-2024	09:45	4.8	35.5	3.5	Fresh	Meat	Kolkata	Chennai	150.7	17.4	5.7	0	0	0	6.3
RAIL0976	Intermodal Rail	08-07-2025	11:55	0.3	48.8	1.7	Fresh	Flowers	Guwahati	Jaipur	128.7	1.5	4.9	0	0	0	0.7
RAIL0816	Intermodal Rail	04-05-2026	14:25	7.1	82	3.5	FRESH	Pharmaceuticals	Guwahati	Bengaluru	158	17	26.6	0	0	0	6
RAIL0561	Intermodal Rail	16-03-2026	03:45	6.6	59.9	2.2	Fresh	Dairy	Guwahati	Jammu	156.2	16.7	5.7	0	0	0	2
RAIL0585	Intermodal Rail	27-02-2024	23:20	10.3	36	2.7	Fresh	Vegetables	Delhi	Bengaluru	132.9	10.9	9.8	0	0	0	1.3
RAIL0391	Intermodal Rail	21-11-2025	05:30	2.7	78.7	2.2	At Risk	Seafood	Mumbai	Jaipur	127.5	27.7	3.5	0	0	0	4.6
RAIL1003	Intermodal Rail	27-05-2024	23:10	7.6	52.2	2.7	Fresh	Flowers	Guwahati	Jaipur	120.6	15.2	4.5	0	0	0	6
RAIL0665	Intermodal Rail	18-04-2024	11:10	2.6	87.2	2	Spoiled	Meat	Chennai	Kochi	164.5	85	3	0	0	0	4.4
RAIL0995	Intermodal Rail	18-02-2026	05:25	3.7	63.2	3.8	Fresh	Vegetables	Delhi	Nagpur	139.4	9.9	10	0	0	0	1.8
RAIL0121	Intermodal Rail	07-07-2026	06:40	2	30	2.1	Fresh	Meat	Ahmedabad	Jaipur	145.6	5.3	6	0	0	0	4
