shipment_id,transport_mode,recorded_date,recorded_time,temperature_celsius,humidity_percentage,vibration_level,spoilage_status,cargo_type,origin_location,destination_location,exposure_duration_hours,spoilage_risk_percent,remaining_shelf_life_days,pressure_kpa,door_open_count,salinity_ppt,thermal_leakage_score
AIR1001,Air Freight,2026-06-25,05:40,,34.2,2.5,At Risk,Meat,Kolkata Airport,Dubai Airport,42.6,27.3,5.0,91.1,0,0.0,0.0
AIR0283,Air Freight,2026-06-23,11:10,3.2,24.6,0.9,Fresh,Seafood,Bengaluru Airport,Doha Airport,28.4,17.4,3.6,86.6,0,0.0,0.0
AIR0237,Air Freight,2026-03-19,17:05,3.6,35.5,3.0,Fresh,Meat,Mumbai Airport,Frankfurt Airport,37.3,22.9,4.5,87.7,0,0.0,0.0
AIR0829,Air Freight,2025-03-15,12:35,1.6,39.4,0.7,Fresh,Meat,Hyderabad Airport,Amsterdam Airport,29.1,13.9,5.2,84.4,0,0.0,0.0
AIR0976,Air Freight,2026-01-20,03:15,4.1,35.7,5.6,Fresh,Fruits,Chennai Airport,Dubai Airport,35.0,16.2,10.9,77.3,0,0.0,0.0
AIR0666,Air Freight,2025-03-20,08:15,7.4,33.5,0.7,Spoiled,Flowers,Mumbai Airport,Doha Airport,35.8,85.3,2.9,84.7,0,0.0,0.0
AIR0561,Air Freight,2025-12-25,07:25,4.7,38.9,1.5,Fresh,Meat,Mumbai Airport,Hong Kong Airport,34.3,21.6,5.0,90.6,0,0.0,0.0
AIR0801,Air Freight,2024-06-21,13:25,3.9,37.8,0.7,Fresh,Meat,Chennai Airport,London Heathrow Airport,25.1,13.5,5.5,90.6,0,0.0,0.0
AIR0967,Air Freight,2026-06-28,17:45,4.3,23.5,0.3,Fresh,Flowers,Mumbai Airport,Amsterdam Airport,34.2,20.9,4.2,85.5,0,0.0,0.0
AIR0437,Air Freight,2026-05-26,03:50,9.9,31.6,0.7,Fresh,Fruits,Chennai Airport,Hong Kong Airport,41.0,20.3,10.6,76.8,0,0.0,0.0
AIR1000,Air Freight,2026-01-20,03:15,999.0,35.7,5.6,Fresh,Fruits,Chennai Airport,Dubai Airport,35.0,16.2,10.9,77.3,0,0.0,0.0
AIR0886,Air Freight,2025-03-16,01:00,8.6,41.2,1.3,Fresh,Pharmaceuticals,Bengaluru Airport,Hong Kong Airport,45.1,21.3,26.4,81.6,0,0.0,0.0
AIR0841,Air Freight,2025-07-03,20:30,-6.8,17.9,1.5,Fresh,Meat,Mumbai Airport,Frankfurt Airport,27.5,15.8,5.5,83.2,0,0.0,0.0
